records/id,records/title,records/full-title,records/isActive,records/logoURL
19587,Α.Ε.Ν.,Ακαδημία Εμπορικού Ναυτικού,1,https://vaseis.iee.ihu.gr/logos/university/aen.png
19591,ΑΕΑ ΑΘΗΝΑΣ,Ανώτατη Εκκλησιαστική Ακαδημία Αθήνας,1,https://vaseis.iee.ihu.gr/logos/university/aea_athinas.png
19592,ΑΕΑ ΘΕΣ/ΝΙΚΗΣ,Ανώτατη Εκκλησιαστική Ακαδημία Θεσσαλονίκης,1,https://vaseis.iee.ihu.gr/logos/university/aea_thessaloniki.png
19593,ΑΕΑ ΙΩΑΝΝΙΝΩΝ,Ανώτατη Εκκλησιαστική Ακαδημία Ιωαννίνων,1,https://vaseis.iee.ihu.gr/logos/university/aea_ioanninon.png
19594,ΑΕΑ ΚΡΗΤΗΣ,Ανώτατη Εκκλησιαστική Ακαδημία Κρήτης,1,https://vaseis.iee.ihu.gr/logos/university/aea_kritis.png
19595,ΑΠΘ,Αριστοτέλειο Πανεπιστήμιο Θεσσαλονίκης,1,https://vaseis.iee.ihu.gr/logos/university/auth.png
19636,ΑΣΚΤ,Ανώτατη Σχολή Καλών Τεχνών,1,https://vaseis.iee.ihu.gr/logos/university/askt.png
19637,ΑΣΠΑΙΤΕ,Ανώτατη Σχολή Παιδαγωγικής και Τεχνολογικής Εκπαίδευσης,1,https://vaseis.iee.ihu.gr/logos/university/aspaite.png
19641,ΑΣΤ. ΣΧΟΛΕΣ,Αστυνομικές Σχολές,1,https://vaseis.iee.ihu.gr/logos/university/police.png
19646,ΑΣΤΕ,Ανώτερη Σχολή Τουριστικής Εκπαίδευσης,1,https://vaseis.iee.ihu.gr/logos/university/aste.png
19648,ΓΕΩΠΟΝΙΚΟ ΠΑΝ.,Γεωπονικό Πανεπιστήμιο,1,https://vaseis.iee.ihu.gr/logos/university/geoponiko_pan.png
19657,ΔΙ.ΠΑ.Ε.,Διεθνές Πανεπιστήμιο της Ελλάδος,1,https://vaseis.iee.ihu.gr/logos/university/dipae.png
19688,ΔΠΘ,Δημοκρίτειο Πανεπιστήμιο Θράκης,1,https://vaseis.iee.ihu.gr/logos/university/dpth.png
19708,ΕΚΠΑ,Εθνικό και Καποδιστριακό Πανεπιστήμιο Αθηνών,1,https://vaseis.iee.ihu.gr/logos/university/ekpa.png
19749,ΕΛ.ΜΕ.ΠΑ.,Ελληνικό Μεσογειακό Πανεπιστήμιο,1,https://vaseis.iee.ihu.gr/logos/university/messogiako.png
19760,ΕΜΠ,Εθνικό Μετσόβιο Πανεπιστήμιο,1,https://vaseis.iee.ihu.gr/logos/university/emp.png
19769,ΙΟΝΙΟ ΠΑΝ/ΜΙΟ,Ιόνιο Πανεπιστήμιο,1,https://vaseis.iee.ihu.gr/logos/university/ionio_pane.png
19778,Λ.Σ. - ΕΛ. ΑΚΤ.,Λιμενικό Σώμα - Ελληνική Ακτοφυλακή,1,https://vaseis.iee.ihu.gr/logos/university/limeniko_swma.png
19780,ΟΠΑ,Οικονομικό Πανεπιστήμιο Αθηνών,1,https://vaseis.iee.ihu.gr/logos/university/opa.png
19788,ΠΑΝ. ΑΙΓΑΙΟΥ,Πανεπιστήμιο Αιγαίου,1,https://vaseis.iee.ihu.gr/logos/university/aigaiou.png
19806,ΠΑΝ. ΔΥΤ. ΑΤΤΙΚΗΣ,Πανεπιστήμιο Δυτικής Αττικής,1,https://vaseis.iee.ihu.gr/logos/university/ditikis_attikis.png
19832,ΠΑΝ. ΔΥΤ. ΜΑΚ.,Πανεπιστήμιο Δυτικής Μακεδονίας,1,https://vaseis.iee.ihu.gr/logos/university/dytikis_makedonias.png
19853,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,Πανεπιστήμιο Θεσσαλίας,1,https://vaseis.iee.ihu.gr/logos/university/thessalias.png
19888,ΠΑΝ. ΙΩΑΝΝΙΝΩΝ,Πανεπιστήμιο Ιωαννίνων,1,https://vaseis.iee.ihu.gr/logos/university/panepistimio_ioanninon.png
19909,ΠΑΝ. ΚΡΗΤΗΣ,Πανεπιστήμιο Κρήτης,1,https://vaseis.iee.ihu.gr/logos/university/kritis.png
19926,ΠΑΝ. ΜΑΚΕΔ.,Πανεπιστήμιο Μακεδονίας,1,https://vaseis.iee.ihu.gr/logos/university/pamak.png
19934,ΠΑΝ. ΠΑΤΡΩΝ,Πανεπιστήμιο Πατρών,1,https://vaseis.iee.ihu.gr/logos/university/patrwn.png
19969,ΠΑΝ. ΠΕΙΡΑΙΑ,Πανεπιστήμιο Πειραιά,1,https://vaseis.iee.ihu.gr/logos/university/pireus.png
19979,ΠΑΝ. ΠΕΛ/ΝΗΣΟΥ,Πανεπιστήμιο Πελοποννήσου,1,https://vaseis.iee.ihu.gr/logos/university/pelloponisou.png
20001,ΠΑΝΤΕΙΟ,Πάντειο Πανεπιστήμιο,1,https://vaseis.iee.ihu.gr/logos/university/panteion.png
20010,ΠΟΛ/ΧΝΕΙΟ ΚΡΗΤΗΣ,Πολυτεχνείο Κρήτης,1,https://vaseis.iee.ihu.gr/logos/university/kritis.png
20015,Σ.Π.Α.,Σχολή Πυροσβεστικής Ακαδημίας,1,https://vaseis.iee.ihu.gr/logos/university/pirosvistiki.png
20017,ΣΑΝ,Σχολή Αξιωματικών Νοσηλευτικής,1,https://vaseis.iee.ihu.gr/logos/university/san.png
20018,ΣΙ,Σχολή Ικάρων,1,https://vaseis.iee.ihu.gr/logos/university/ikaron.png
20019,ΣΜΥ,Σχολή Μονίμων Αξιωματικών,1,https://vaseis.iee.ihu.gr/logos/university/smy.png
20021,ΣΜΥΑ,Σχολή Μονίμων Αξιωματικών Αεροπορίας,1,https://vaseis.iee.ihu.gr/logos/university/smya.png
20025,ΣΜΥΝ,Σχολή Μονίμων Αξιωματικών Ναυτικού,1,https://vaseis.iee.ihu.gr/logos/university/smyn.png
20027,ΣΣΑΣ,Στρατιωτική Σχολή Αξιωματικών Σωμάτων,1,https://vaseis.iee.ihu.gr/logos/university/ssas.png
20028,ΣΣΕ,Στρατιωτική Σχολή Ευελπίδων,1,https://vaseis.iee.ihu.gr/logos/university/sse.png
20031,ΧΑΡΟΚΟΠΕΙΟ,Χαροκόπειο Πανεπιστήμιο,1,https://vaseis.iee.ihu.gr/logos/university/harokopio.png
20495,ΣΝΔ,Σχολή Ναυτικών Δοκίμων,1,https://vaseis.iee.ihu.gr/logos/university/snd.png
31034,ΤΕΙ ΘΕΣ/ΝΙΚΗΣ,ΤΕΙ Θεσσαλονίκης,0,https://vaseis.iee.ihu.gr/logos/university/teithe.png
31035,ΤΕΙ ΘΕΣΣΑΛΙΑΣ,ΤΕΙ Θεσσαλίας,0,https://vaseis.iee.ihu.gr/logos/university/tei_thessalias.png
31036,ΤΕΙ ΚΕΝΤΡ. ΜΑΚΕΔ,ΤΕΙ Κεντρικής Μακεδονίας,0,https://vaseis.iee.ihu.gr/logos/university/tei_kentriki_make.png
31037,ΤΕΙ ΔΥΤ. ΕΛΛΑΔΑΣ,ΤΕΙ Δυτικής Ελλάδας,0,https://vaseis.iee.ihu.gr/logos/university/tei_dit_elladas.png
31039,ΤΕΙ ΑΝ. ΜΑΚ. ΘΡΑΚΗΣ,ΤΕΙ Ανατολικής Μακεδονίας και Θράκης,0,https://vaseis.iee.ihu.gr/logos/university/tei_an_mak_thrakis.png
31040,ΤΕΙ ΔΥΤ. ΜΑΚ.,ΤΕΙ Δυτικής Μακεδονίας,0,https://vaseis.iee.ihu.gr/logos/university/tei_dyt_makedonias.png
31044,ΤΕΙ ΣΤ. ΕΛΛΑΔΑΣ,ΤΕΙ Στερεάς Ελλάδας,0,https://vaseis.iee.ihu.gr/logos/university/tei_st_elladas.png
31047,ΤΕΙ ΚΡΗΤΗΣ,ΤΕΙ Κρήτης,0,https://vaseis.iee.ihu.gr/logos/university/tei_kritis.png
31058,ΤΕΙ ΠΕΛ/ΝΗΣΟΥ,ΤΕΙ Πελοποννήσου,0,https://vaseis.iee.ihu.gr/logos/university/tei_pelloponisou.png
31064,ΤΕΙ ΙΟΝΙΩΝ ΝΗΣΩΝ,ΤΕΙ Ιονίων Νήσων,0,https://vaseis.iee.ihu.gr/logos/university/tei_ionion_nison.png
31086,ΤΕΙ ΗΠΕΙΡΟΥ,ΤΕΙ Ηπείρου,0,https://vaseis.iee.ihu.gr/logos/university/tei_ipeirou.png
33528,ΤΕΙ ΑΘΗΝΑΣ,ΤΕΙ Αθήνας,0,https://vaseis.iee.ihu.gr/logos/university/tei_athinas.png
33739,ΤΕΙ ΠΕΙΡΑΙΑ,ΤΕΙ Πειραιά,0,https://vaseis.iee.ihu.gr/logos/university/tei_peiraia.png
36603,ΣΤΥΑ,Σχολή Τεχνικών Υπαξιωματικών Αεροπορίας,0,https://vaseis.iee.ihu.gr/logos/university/stya.png
36715,ΣΥΔΕ,Σχολή Υπαξιωματικών Διοικητικών,0,https://vaseis.iee.ihu.gr/logos/university/syde.png
50302,ΠΑ.ΜΑΚ.,,,
61191,ΠΑΕΑ ΚΡΗΤΗΣ,,,
61330,ΠΑΝ. ΜΑΚ.,,,
